met,split,value,src,trg,model
mse,0,0.006459994195583596,CCLE,CCLE,hidra
mse,1,0.0057799771953781515,CCLE,CCLE,hidra
mse,2,0.0058350733823529415,CCLE,CCLE,hidra
mse,3,0.006556897983193277,CCLE,CCLE,hidra
mse,4,0.006220737773109243,CCLE,CCLE,hidra
mse,5,0.006542045882352941,CCLE,CCLE,hidra
mse,6,0.007286385924369748,CCLE,CCLE,hidra
mse,7,0.006103831638655462,CCLE,CCLE,hidra
mse,8,0.006374969401260504,CCLE,CCLE,hidra
mse,9,0.0059331603676470585,CCLE,CCLE,hidra
rmse,0,0.0803740890808947,CCLE,CCLE,hidra
rmse,1,0.07602616125636064,CCLE,CCLE,hidra
rmse,2,0.07638765202801394,CCLE,CCLE,hidra
rmse,3,0.08097467494959938,CCLE,CCLE,hidra
rmse,4,0.0788716537997603,CCLE,CCLE,hidra
rmse,5,0.08088291465045595,CCLE,CCLE,hidra
rmse,6,0.08536032992186562,CCLE,CCLE,hidra
rmse,7,0.07812702246121672,CCLE,CCLE,hidra
rmse,8,0.07984340549638715,CCLE,CCLE,hidra
rmse,9,0.07702701063683479,CCLE,CCLE,hidra
pcc,0,0.8771661789844842,CCLE,CCLE,hidra
pcc,1,0.8801187745002673,CCLE,CCLE,hidra
pcc,2,0.8848608984548676,CCLE,CCLE,hidra
pcc,3,0.8817635500847727,CCLE,CCLE,hidra
pcc,4,0.8707388551636851,CCLE,CCLE,hidra
pcc,5,0.8597905281359688,CCLE,CCLE,hidra
pcc,6,0.8584258185830995,CCLE,CCLE,hidra
pcc,7,0.8738473991337016,CCLE,CCLE,hidra
pcc,8,0.8842250722960309,CCLE,CCLE,hidra
pcc,9,0.8693558599973763,CCLE,CCLE,hidra
scc,0,0.7883365226176234,CCLE,CCLE,hidra
scc,1,0.765321289679475,CCLE,CCLE,hidra
scc,2,0.7937579246622549,CCLE,CCLE,hidra
scc,3,0.7671255712891637,CCLE,CCLE,hidra
scc,4,0.7741362278950275,CCLE,CCLE,hidra
scc,5,0.7315790828088852,CCLE,CCLE,hidra
scc,6,0.7599127224253996,CCLE,CCLE,hidra
scc,7,0.7678523633319407,CCLE,CCLE,hidra
scc,8,0.8085491770108857,CCLE,CCLE,hidra
scc,9,0.7462542347260799,CCLE,CCLE,hidra
r2,0,0.7627336166345866,CCLE,CCLE,hidra
r2,1,0.7684460825750897,CCLE,CCLE,hidra
r2,2,0.7828568671558159,CCLE,CCLE,hidra
r2,3,0.7662664153313222,CCLE,CCLE,hidra
r2,4,0.7522601715423582,CCLE,CCLE,hidra
r2,5,0.7377790874336084,CCLE,CCLE,hidra
r2,6,0.7127159202749757,CCLE,CCLE,hidra
r2,7,0.7599577276499967,CCLE,CCLE,hidra
r2,8,0.7703547025094661,CCLE,CCLE,hidra
r2,9,0.7511971668913638,CCLE,CCLE,hidra
mse,0,0.028485962247571203,CCLE,CTRPv2,hidra
mse,1,0.03506315468117838,CCLE,CTRPv2,hidra
mse,2,0.023624889889278425,CCLE,CTRPv2,hidra
mse,3,0.03320255654879388,CCLE,CTRPv2,hidra
mse,4,0.022913076313466934,CCLE,CTRPv2,hidra
mse,5,0.024206384710027375,CCLE,CTRPv2,hidra
mse,6,0.02360468450518898,CCLE,CTRPv2,hidra
mse,7,0.026538343361763733,CCLE,CTRPv2,hidra
mse,8,0.023827994549910175,CCLE,CTRPv2,hidra
mse,9,0.02371114433802522,CCLE,CTRPv2,hidra
rmse,0,0.168777848805971,CCLE,CTRPv2,hidra
rmse,1,0.1872515812514767,CCLE,CTRPv2,hidra
rmse,2,0.15370390329877257,CCLE,CTRPv2,hidra
rmse,3,0.18221568688999826,CCLE,CTRPv2,hidra
rmse,4,0.15137065869403799,CCLE,CTRPv2,hidra
rmse,5,0.15558401174294026,CCLE,CTRPv2,hidra
rmse,6,0.15363816096656774,CCLE,CTRPv2,hidra
rmse,7,0.16290593409008688,CCLE,CTRPv2,hidra
rmse,8,0.15436319039819751,CCLE,CTRPv2,hidra
rmse,9,0.15398423405668912,CCLE,CTRPv2,hidra
pcc,0,0.17429959843558648,CCLE,CTRPv2,hidra
pcc,1,0.18137860706803668,CCLE,CTRPv2,hidra
pcc,2,0.19719089856121824,CCLE,CTRPv2,hidra
pcc,3,0.1713950205257432,CCLE,CTRPv2,hidra
pcc,4,0.26740162816945307,CCLE,CTRPv2,hidra
pcc,5,0.19465175581284552,CCLE,CTRPv2,hidra
